CountryName,Year,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Unemployment,Labour force participation rate,"Balance of payments, current account",CPI: Consumer Price Index
Bangladesh,2015,194 466,6.6,1 244.5,15.3,27.8,57,4.4,32.4 / 80.4,2 580,145
Bangladesh,2021,301 051b,8.2b,1 846.4b,13.3b,31.2b,55.5b,4.2d,36.4 / 81.3d,1 082d,190d
Barbados,2010,4 530,-2.3,16 056.2,1.5,15.8,82.7,10.7,62.9 / 72.4,-272,100j
Barbados,2015,4 715,2.4,16 525.1,1.5,15.4,83.1,11.4,61.6 / 69.5,-99,168l
Barbados,2021,5 209b,-0.1b,18 149.0b,1.5b,15.1b,83.4b,10.9d,61.4 / 68.7d,-453n,"181l,m,d"
Belarus,2010,57 232,7.8,6 075.2,10.1,40.3,49.5,6.1,57.5 / 69.6,- 8 280,100i
Belarus,2015,56 455,-3.8,5 980.7,7.2,37.7,55.1,5.9,58.6 / 71.0,- 1 831,387
Belarus,2021,63 081b,1.2b,6 673.5b,7.8b,36b,56.2b,4.6d,57.3 / 71.3d,-241d,536d
Belgium,2010,480 952,2.9,43 967.7,0.9,23.4,75.7,8.3,47.5 / 60.8,7 338,100j
Belgium,2015,462 150,2,40 941.9,0.8,22,77.3,8.5,48.0 / 59.1,6 363,109j
Belgium,2021,533 097b,1.7b,46 198.3b,0.7b,21.4b,77.9b,5.7d,48.5 / 58.4d,-933d,118d
Belize,2010,1 377,3,4 270.8,12.8,21,66.2,8.5,46.4 / 80.4,-46,100
Belize,2015,1 724,2.8,4 775.9,14.7,16.3,69,7.6,48.4 / 80.0,-175,104
Belize,2021,1 907b,0.3b,4 815.2b,11b,13.7b,75.3b,6.4d,50.2 / 80.6d,-128d,106d
Benin,2010,6 970,2.1,757.7,25.4,24.7,49.9,1,69.2 / 73.0,-531,100
Benin,2015,11 380,13,1 076.0,28.7g,"17.8h,i",53.5j,2.6,68.4 / 73.3,-679,110
Benin,2021,14 403b,6.9b,1 220.5b,"29.4g,b","17.9h,i,b","52.7j,b",2f,69.0 / 73.0f,-581b,114f
Bermuda,2010,6 635,0.6,101 462.4,0.3,6.9,92.8,"4.5h,l",81.0 / 87.0g,696,NA
Bermuda,2015,6 655,0.8,104 480.0,0.2,5.3,94.4,"6.7j,k","72.6 / 80.0g,j,m",943,"148n,o"
Bermuda,2021,7 361b,2.4b,117 767.9b,0.3b,5.8b,93.9b,NA,... / ...,828b,NA
Bhutan,2010,1 585,11.7,2 312.8,15.4,45.7,38.9,3.3,63.5 / 72.5,-323,100
Bhutan,2015,2 004,6.6,2 752.7,15.1,44.5,40.4,2.4,58.2 / 72.6,-548,88f
Bhutan,2021,2 564b,3.8b,3 360.6b,15.9b,43.2b,40.9b,2.4d,59.0 / 73.8d,-381d,"106f,d"
Bolivia (Plurinational State of),2010,19 650,4.1,1 955.5,12.4,35.8,51.8,2.6,62.0 / 82.1,874,100
Bolivia (Plurinational State of),2015,33 000,4.9,3 036.0,12.6,31,56.5,3.1,54.4 / 79.7,- 1 936,134
Bolivia (Plurinational State of),2021,40 895c,2.2c,3 552.1c,13.9c,28.6c,57.5c,3.4f,63.0 / 80.4f,-176f,150f
Bosnia and Herzegovina,2010,17 176,0.9,4 635.4,8,26.5,65.5,27.3,34.3 / 58.2,- 1 031,100
Bosnia and Herzegovina,2015,16 212,3.1,4 727.3,7.3,26.6,66.1,27.7,36.2 / 58.2,-826,104
Bosnia and Herzegovina,2021,20 164b,2.7b,6 108.6b,6.7b,28.5b,64.9b,18.4d,35.2 / 57.7d,-635d,104d
Botswana,2010,12 787,8.6,6 434.8,2.8,35.7,61.6,17.9,53.8 / 66.9,-744,100
Botswana,2015,14 421,-1.7,6 799.9,2.4,33.2,64.4,17.8,64.9 / 77.7,301,133
Botswana,2021,18 341b,3b,7 961.4b,2.2b,31.2b,66.6b,18.7d,65.5 / 77.0d,- 1 397b,153d
Brazil,2010,2 208 838,7.5,11 286.1,4.8,27.4,67.8,7.7,53.5 / 76.5,- 79 237,100
Brazil,2015,1 802 212,-3.5,8 814.0,5,22.5,72.5,8.4,53.3 / 75.3,- 54 789,138
Brazil,2021,1 847 796b,1.1b,8 755.3b,5.2b,20.9b,73.9b,12d,54.0 / 73.9d,- 24 074d,173d
British Virgin Islands,2010,1 021,-0.1,36 732.2,0.1,4.8,95,NA,NA,NA,NA
British Virgin Islands,2015,1 174,0.8,40 283.1,0.1,6.7,93.1,NA,NA,NA,NA
British Virgin Islands,2021,1 297b,2.6b,43 188.6b,0.1b,6.9b,93b,NA,NA,NA,NA
Brunei Darussalam,2010,13 707,2.6,35 268.9,0.7,67.4,31.9,6.7,57.0 / 75.3,5 016,100
Brunei Darussalam,2015,12 930,-0.4,31 164.3,1.1,60.2,38.7,7.9,58.0 / 73.1,2 157,100
Brunei Darussalam,2021,13 469b,3.9b,31 086.3b,1b,61.5b,37.5b,9d,57.6 / 70.7d,514d,101d
Bulgaria,2010,50 364,0.6,6 783.0,4.6,26.8,68.6,10.3,47.7 / 59.5,-965,100
Bulgaria,2015,50 631,4,7 032.3,4.7,27.4,67.9,9.1,48.6 / 60.1,-123,107
Bulgaria,2021,67 926b,3.4b,9 703.5b,3.7b,25.6b,70.8b,3.8c,49.1 / 61.9c,-538c,116c
Burkina Faso,2010,10 100,8.4,647.2,26.2,28.2,45.6,4.7,59.7 / 81.7,-182,100
Burkina Faso,2015,11 823,3.9,652.8,24.9,26.8,48.3,6.4,58.3 / 75.4,-895,108
Burkina Faso,2021,15 991b,5.7b,786.9b,22.3b,28.3b,49.3b,6.4d,58.2 / 74.7d,-524b,110d
Burundi,2010,2 032,5.1,234.2,40.7,16.3,43,1.8,80.2 / 77.3,-301,100
Burundi,2015,2 811,-0.4,276.6,37.5,16.4,46.2,1.6,80.0 / 77.1,-373,154
Burundi,2021,3 002b,1.8b,260.4b,38.9b,17.8b,43.4b,1.4d,80.4 / 77.8d,-363c,195d
Cabo Verde,2010,1 664,1.5,3 378.3,9.2,20.8,70.1,10.7,47.0 / 70.2,-223,100
Cabo Verde,2015,1 596,1,3 041.8,10,20.7,69.3,11.9,51.2 / 68.7,-51,109
Cabo Verde,2021,1 982b,5.7b,3 603.8b,5.4b,22.9b,71.7b,12.3d,53.6 / 67.6d,-274d,111d
Cambodia,2010,11 242,6,785.5,36,23.3,40.7,0.8,81.8 / 89.0,-981,100
Cambodia,2015,18 050,7,1 162.9,28.2,29.4,42.3,0.4,74.3 / 86.9,- 1 598,117
Cambodia,2021,27 098b,6.8b,1 643.6b,22b,36.4b,41.6b,0.7d,76.3 / 89.0d,- 3 076d,128g
Cameroon,2010,26 144,3.4,1 285.3,15.1,29.1,55.8,4.1,70.6 / 81.4,-857,100
Cameroon,2015,30 905,5.7,1 326.5,16.1,27.4,56.6,3.5,71.1 / 81.6,- 1 174,113
